Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Channel,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
1,1,0,0,0,1,0,"June 05, 2022",Direct,345,289,0.79,74,343,0
1,1,0,0,0,1,0,"June 05, 2022",Social Networks,315,290,0.49,160,187,0.006493506
1,1,0,0,0,1,0,"June 05, 2022",Social Paid,71,70,0.93,5,232,0
1,1,0,0,1,0,0,"June 05, 2022",Display OA,9068,5448,0.17,7556,188,0.648088643
1,1,0,0,1,0,0,"June 05, 2022",Referring Domains,8412,5978,0.82,1528,153,0.15480887
1,1,0,0,1,0,0,"June 05, 2022",Natural Search,6983,5045,0.59,2887,124,0.190290982
1,1,0,0,1,0,0,"June 05, 2022",Unknown Channel,4074,3626,0.22,3159,101,0.303649635
1,1,0,0,1,0,0,"June 05, 2022",Paid Search,1796,1539,0.48,930,168,0.303135889
1,1,0,0,1,0,0,"June 05, 2022",Social Paid,788,720,0.31,546,127,0.323907455
1,1,0,0,1,0,0,"June 05, 2022",Social Networks,682,590,0.29,487,117,0.372628726
1,1,0,0,1,0,0,"June 05, 2022",Direct,430,336,0.44,239,161,0.254658385
1,1,0,1,0,0,0,"June 05, 2022",Referring Domains,15796,9217,0.66,5392,17,0.058058376
1,1,0,1,0,0,0,"June 05, 2022",Natural Search,4161,2837,0.76,997,14,0.042267628
1,1,0,1,0,0,0,"June 05, 2022",Paid Search,449,394,0.84,71,14,0.004724409
1,1,0,1,0,0,0,"June 05, 2022",Direct,387,247,0.4,232,16,0.04155496
1,1,0,1,0,0,0,"June 05, 2022",Social Networks,369,337,0.5,185,8,0.04136253
1,1,0,1,0,0,0,"June 05, 2022",Display OA,227,174,0.75,57,13,0.003154574
1,1,0,1,0,0,0,"June 05, 2022",Unknown Channel,92,88,0.96,4,5,0
1,1,0,1,0,0,0,"June 05, 2022",Social Paid,51,51,0.96,2,5,0
1,0,1,0,0,0,0,"June 05, 2022",Referring Domains,56646,25226,0.74,14845,588,0.11515058
1,0,1,0,0,0,0,"June 05, 2022",Natural Search,25777,14156,0.66,8793,328,0.164436807
1,0,1,0,0,0,0,"June 05, 2022",Display OA,15525,8910,0.34,10315,231,0.524204612
1,0,1,0,0,0,0,"June 05, 2022",Unknown Channel,5787,5051,0.26,4254,115,0.324057767
1,0,1,0,0,0,0,"June 05, 2022",Direct,3898,2609,0.6,1545,268,0.201898409
1,0,1,0,0,0,0,"June 05, 2022",Paid Search,3247,2617,0.56,1442,256,0.260314342
1,0,1,0,0,0,0,"June 05, 2022",Social Networks,1726,1378,0.36,1105,163,0.385636693
1,0,1,0,0,0,0,"June 05, 2022",Social Paid,862,786,0.32,587,151,0.315294118
1,0,1,0,0,0,1,"June 05, 2022",Referring Domains,1477,1065,0.88,172,194,0.159229209
1,0,1,0,0,0,1,"June 05, 2022",Natural Search,44,42,0.95,2,376,0.006622517
1,0,1,0,0,0,1,"June 05, 2022",Display OA,43,4,1,0,5,0
1,0,1,0,0,0,1,"June 05, 2022",Direct,7,5,0.86,1,513,0.027027027
1,0,1,0,0,0,1,"June 05, 2022",Paid Search,6,5,0.83,1,19,0
1,0,1,0,0,0,1,"June 05, 2022",Social Networks,2,2,0.5,1,0,0.05
1,0,1,0,0,0,1,"June 05, 2022",Unknown Channel,1,1,1,0,0,0
1,0,1,0,0,0,1,"June 05, 2022",Social Paid,0,0,0,0,0,0
1,0,1,0,0,1,0,"June 05, 2022",Referring Domains,24951,13095,0.9,2442,927,0.000323468
1,0,1,0,0,1,0,"June 05, 2022",Natural Search,9348,5664,0.94,576,541,0.000115687
