Return Visits,Mobile Phone,Non-Mobile Phone,MOFA Page Template,Showroom Page Template,Configuration Load,DCC,Date,Carline,Visits,Unique Visitors,Share of Non-Single Page Visits,Single Page Visits,Time Spent per Visit,Bounce Rate
1,1,0,0,0,0,0,"June 05, 2022",Crafter Furgon,36,31,0.86,5,279,0
1,1,0,0,0,0,0,"June 05, 2022",Caddy Cargo,22,15,0.59,9,247,0.5
1,1,0,0,0,0,0,"June 05, 2022",Transporter 6.1 Kombi,20,15,0.8,4,504,0.083333333
1,1,0,0,0,0,0,"June 05, 2022",Multivan 6.1 Edition,15,14,0.87,2,118,0.2
1,1,0,0,0,0,0,"June 05, 2022",Crafter,8,7,0.62,3,6,0
1,1,0,0,0,0,0,"June 05, 2022",Transporter 6.1 Skrzyniowy,8,6,0.75,2,994,0
1,1,0,0,0,0,0,"June 05, 2022",Crafter Skrzyniowy,6,4,0.67,2,460,0
1,1,0,0,0,0,0,"June 05, 2022",Caravelle,5,5,0.6,2,200,1
1,1,0,0,0,0,0,"June 05, 2022",Crafter Podwozie,3,3,0.67,1,193,0
1,1,0,0,0,0,0,"June 05, 2022",Transporter Delivery Van,2,2,0.5,1,7,1
1,1,0,0,0,0,0,"June 05, 2022",Crafter Delivery Van,2,2,0.5,1,25,0
1,1,0,0,0,0,0,"June 05, 2022",Transporter Dropside Van,2,2,1,0,19,0
1,1,0,0,0,0,0,"June 05, 2022",Transporter Kombi,1,1,1,0,186,0
1,1,0,0,0,0,0,"June 05, 2022",Amarok,1,1,1,0,65,0
1,1,0,0,0,0,0,,,,,,,,
1,1,0,0,0,0,0,,,,,,,,
1,1,0,0,0,0,0,,,,,,,,
1,1,0,0,0,0,0,,,,,,,,
1,1,0,0,0,0,0,,,,,,,,
1,1,0,0,0,0,0,,,,,,,,
1,1,0,0,0,0,0,,,,,,,,
1,1,0,0,0,0,1,"June 05, 2022",::unspecified::,35,34,0.89,4,94,0.090909091
1,1,0,0,0,0,1,"June 05, 2022",Multivan,2,2,1,0,35,0
1,1,0,0,0,0,1,"June 05, 2022",Transporter 6.1 Kombi,1,1,1,0,99,0
1,1,0,0,0,0,1,"June 05, 2022",Caddy California,1,1,1,0,104,0
1,1,0,0,0,0,1,"June 05, 2022",Crafter Furgon,1,1,1,0,60,0
1,1,0,0,0,0,1,"June 05, 2022",Caddy Cargo,1,1,1,0,55,0
1,1,0,0,0,0,1,"June 05, 2022",Transporter 6.1 Furgon,1,1,1,0,43,0
1,1,0,0,0,0,1,"June 05, 2022",California 6.1,1,1,1,0,26,0
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,0,1,,,,,,,,
1,1,0,0,0,1,0,"June 05, 2022",::unspecified::,923,770,0.66,311,244,0.006944444
1,1,0,0,0,1,0,"June 05, 2022",Multivan,84,64,0.81,16,756,0
1,1,0,0,0,1,0,"June 05, 2022",California 6.1,52,33,0.62,20,297,0
1,1,0,0,0,1,0,"June 05, 2022",Caravelle 6.1,50,21,0.68,16,746,0
1,1,0,0,0,1,0,"June 05, 2022",Caddy,47,40,0.79,10,484,0
